file,prompt
CapyDados.html,"Analise o seguinte documento com a instrução: ""${analiseTipo}"".\n\nDocumento (primeiros 15000 caracteres):\n---\n${textoDoc.substring(0, 15000)}\n---"
CapyDecisao.html,"Aja como CapyDecisao, um assistente jurídico de IA. Analise o seguinte caso:
  """"""
  ${caseDescription}
  """"""
  Forneça uma análise em JSON com as chaves: ""decisionLines"" (string Markdown com 2-3 desfechos e probabilidades), ""relevantPrecedents"" (string Markdown com 2-3 jurisprudências/artigos), ""keyArguments"" (objeto com arrays ""favorable"" e ""opposing""), e ""suggestedPetition"" (string com um rascunho de petição).
  Responda APENAS com o objeto JSON."
CapyFiscal.html,"Aja como CapyFiscal, um assistente IA especializado em questões fiscais.
  Dúvida: ""${query}""
  Jurisdição: ""${dom.jurisdictionInput.value.trim() || 'Geral'}""
  Nível de Complexidade: ""${dom.complexityLevelSelect.value}""
  Forneça uma resposta informativa e clara. Use Markdown simples."
CapyFlow-main\main.js,"${core}, style: ${styleLabel}, ${effect}, high detail, crisp focus, ${ratio}, --negatives: ${negatives}"
CapyFlow-main\main.js,"Responda **apenas** com um arquivo HTML completo, auto-contido (CSS e JS inline), sem comentários fora das tags e sem explicações. Não use markdown."
CapyFlow\main.js,"${core}, style: ${styleLabel}, ${effect}, high detail, crisp focus, ${ratio}, --negatives: ${negatives}"
CapyFlow\main.js,"Responda **apenas** com um arquivo HTML completo, auto-contido (CSS e JS inline), sem comentários fora das tags e sem explicações. Não use markdown."
CapyGrana.html,"Aja como CapyGrana, um consultor financeiro pessoal. Analise os seguintes dados:
  - Objetivo: ""${dom.financialGoalInput.value.trim()}""
  - Rendimento Mensal: ${dom.incomeInput.value.trim() || ""Não informado""}
  - Despesas Fixas: ${dom.expensesInput.value.trim() || ""Não informado""}
  - Situação Adicional: ${dom.financialSituationArea.value.trim() || ""Nenhuma""}
  - Tipo de Conselho: ""${dom.adviceTypeSelect.value}""
  Forneça conselhos claros e acionáveis. Use Markdown."
capyaudiencias.html,"Analise a ata de audiência e extraia as informações em JSON com chaves ""decisoes"", ""proximosPassos"", ""partesEnvolvidas"".\n\nAta:\n""""""${ataText}"""""""
capybranding.html,"Crie sugestões de branding para uma empresa com público-alvo ""${targetAudience}"" e valores ""${companyValues}"". Estilo: ""${dom.creationStyleSelect.value}"". Use ""${dom.brandSuggestionInput.value.trim()}"" como inspiração. Formate em Markdown com seções para Nomes, Slogan, Paleta de Cores, Tipografia, Tom de Voz, e um prompt para gerar um logotipo."
capybula.html,"Forneça informações sobre ""${drugName}"" em JSON com chaves ""indicacoes"", ""contraindicacoes"", ""efeitosColaterais"", ""interacoesMedicamentosas""."
capybyte.html,"Você é o CapyByte, um Oráculo Tecnológico. Analise: ""${problemDescription}"". Responda em JSON com chaves: ""diagnosis"", ""rootCause"", ""stepByStepSolution"" (com \n), e ""suggestedComponents""."
